trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
Train875RP,11704,101BrunswickRP,MARTINSBURG,Train 875,1,390470,116489,1,1
Train893R,11704,101BrunswickR,FREDERICK,Train 893,1,390471,116483,1,1
Train881R,11704,101BrunswickR,MARTINSBURG,Train 881,1,390476,116486,1,1
Train872RP,11704,101BrunswickRP,UNION STATION,Train 872,0,390465,116480,1,1
Train877RP,11704,101BrunswickRP,BRUNSWICK,Train 877,1,390472,116488,1,1
Train846R,11706,101CamdenR,BALTIMORE CAMDEN,Train 846,1,390574,116593,1,1
Train852R,11706,101CamdenR,BALTIMORE CAMDEN,Train 852,1,390571,116598,1,1
Train856R,11706,101CamdenR,BALTIMORE CAMDEN,Train 856,1,390577,116588,1,1
Train858R,11706,101CamdenR,BALTIMORE CAMDEN,Train 858,1,390572,116598,1,1
Train857R,11706,101CamdenR,WASHINGTON,Train 857,0,390572,116579,1,1
Train851R,11706,101CamdenR,WASHINGTON,Train 851,0,390565,116582,1,1
Train849R,11706,101CamdenR,WASHINGTON,Train 849,0,390569,116583,1,1
Train845R,11706,101CamdenR,WASHINGTON,Train 845,0,390567,116585,1,1
Train410R,11705,101PennR,BALTIMORE,Train 410,1,401884,116576,1,1
Train612R,11705,101PennR,BALTIMORE AND MARTIN AIR,Train 612,1,401883,116542,1,1
Train414R,11705,101PennR,BALTIMORE,Train 414,1,401867,116576,1,1
Train416R,11705,101PennR,BALTIMORE,Train 416,1,401868,116576,1,1
Train520R,11705,101PennR,PERRYVILLE,Train 520,1,401870,116549,1,1
Train424R,11705,101PennR,BALTIMORE,Train 424,1,401872,116576,1,1
Train426R,11705,101PennR,BALTIMORE,Train 426,1,401873,116576,1,1
Train428R,11705,101PennR,BALTIMORE,Train 428,1,401882,116549,1,1
Train634R,11705,101PennR,BALTIMORE AND MARTIN AIR,Train 634,1,401876,116542,1,1
Train438R,11705,101PennR,BALTIMORE,Train 438,1,401888,116549,1,1
Train440R,11705,101PennR,BALTIMORE,Train 440,1,401889,116576,1,1
Train642R,11705,101PennR,BALTIMORE AND MARTIN AIR,Train 642,1,401890,116542,1,1
Train544R,11705,101PennR,PERRYVILLE,Train 544,1,401877,116549,1,1
Train448R,11705,101PennR,BALTIMORE,Train 448,1,401879,116576,1,1
Train449R,11705,101PennR,WASHINGTON,Train 449,0,401855,116513,1,1
Train443R,11705,101PennR,WASHINGTON,Train 443,0,401852,116513,1,1
Train641R,11705,101PennR,WASHINGTON,Train 641,0,401861,116497,1,1
Train537R,11705,101PennR,WASHINGTON,Train 537,0,401851,116504,1,1
Train435R,11705,101PennR,WASHINGTON,Train 435,0,401850,116513,1,1
Train431R,11705,101PennR,WASHINGTON,Train 431,0,401848,116513,1,1
Train427R,11705,101PennR,WASHINGTON,Train 427,0,401846,116513,1,1
Train525R,11705,101PennR,WASHINGTON,Train 525,0,401834,116504,1,1
Train421R,11705,101PennR,WASHINGTON,Train 421,0,401845,116513,1,1
Train517R,11705,101PennR,WASHINGTON,Train 517,0,401842,116504,1,1
Train413R,11705,101PennR,WASHINGTON,Train 413,0,401841,116513,1,1
Train511R,11705,101PennR,WASHINGTON,Train 511,0,401840,116504,1,1
Train407R,11705,101PennR,WASHINGTON,Train 407,0,401837,116513,1,1
Train502R,11705,101PennR,PERRYVILLE,Train 502,1,401864,116549,1,1
Train403R,11705,101PennR,WASHINGTON,Train 403,0,401858,116513,1,1
Train452RP,11705,101PennRP,BALTIMORE,Train 452,1,401880,116576,1,1
